LON,LAT,VARIABLE,TYPE,NAME,Name_Database,Paper_Database,Code_Proxy,Reference_Proxy,Reference_Proxy_Database
110.08,34.47,natural_proxy,tree_proxy,P2k_Asia-HSE_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-HSE,"Shao, X.M. et al. 2013",https://doi.org/10.6084/m9.figshare.c.3285353.v2
145.47,43.22,natural_proxy,tree_proxy,P2k_Asia-ONB_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-ONB,"Yasue, K. et al. 2013",https://doi.org/10.6084/m9.figshare.c.3285353.v2
107,47.77,natural_proxy,tree_proxy,P2k_Asia-MANHPS_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-MANHPS,"Jacoby, G.C. et al. 2003",https://doi.org/10.6084/m9.figshare.c.3285353.v2
87.27,27.78,natural_proxy,tree_proxy,P2k_Asia-LUKUTD_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-LUKUTD,"Krusic, P.J. et al. 2002",https://doi.org/10.6084/m9.figshare.c.3285353.v2
71.73,35.9,natural_proxy,tree_proxy,P2k_Asia-CGPCDD_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-CGPCDD,"Cook, E.R. et al. 2013",https://doi.org/10.6084/m9.figshare.c.3285353.v2
97.03,31.12,natural_proxy,tree_proxy,P2k_Asia-QAMDPB_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Asia-QAMDJT,"Brauning, A. et al. 2013",https://doi.org/10.6084/m9.figshare.c.3285353.v2
28.325,62,natural_proxy,tree_proxy,P2k_Eur-FinnishLakes.Helama.2014_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Eur-FinnishLakes.Helama.2014,"Helama, S. et al. 2014",https://doi.org/10.6084/m9.figshare.c.3285353.v2
25,68,natural_proxy,tree_proxy,P2k_Eur-NScan.Esper.2012_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Eur-NScan.Esper.2012,"Esper, J. et al. 2012",https://doi.org/10.6084/m9.figshare.c.3285353.v2
10.7,47,natural_proxy,tree_proxy,P2k_Eur-CentralEu.Buntgen.2011_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Eur-CentralEu.Buntgen.2011,"Büntgen, U. et al. 2012",https://doi.org/10.6084/m9.figshare.c.3285353.v2
7.8,46.4,natural_proxy,tree_proxy,P2k_Eur-Lotschental.Buentgen.2006_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Eur-Lotschental.Buentgen.2006,"Büntgen, U. et al. 2006",https://doi.org/10.6084/m9.figshare.c.3285353.v2
1,42.5,natural_proxy,tree_proxy,P2k_Eur-SPyrenees.Linan.2012_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Eur-SPyrenees.Linan.2012,"Dorado-Linan, I. et al. 2012",https://doi.org/10.6084/m9.figshare.c.3285353.v2
15.73,68.73,natural_proxy,tree_proxy,P2k_Arc-McCarrol.Forfjordalen.2013_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-McCarrol.Forfjordalen.2013,"McCarroll, D. et al. 0",https://doi.org/10.6084/m9.figshare.c.3285353.v2
27.33333333,68.49166667,natural_proxy,tree_proxy,P2k_Arc-McCarroll.Laanila.2013_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-McCarroll.Laanila.2013,"Lindholm, M. et al. 0",https://doi.org/10.6084/m9.figshare.c.3285353.v2
-80.4,78.4,natural_proxy,ice_proxy,P2k_Arc-PrinceOfWales.Kinnard.2011_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-PrinceOfWales.Kinnard.2011,"Kinnard, C. et al. 0",https://doi.org/10.6084/m9.figshare.c.3285353.v2
65.6,66.9,natural_proxy,tree_proxy,P2k_Arc-Schneider.2015.PolarUrals_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-Schneider.2015.PolarUrals,"Wilson, R.J.S. et al. 2016",https://doi.org/10.6084/m9.figshare.c.3285353.v2
19.6,68.26,natural_proxy,tree_proxy,P2k_Arc-Tornetrask.Melvin.2013_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-Tornetrask.Melvin.2013,"Melvin, T.M. et al. 2013",https://doi.org/10.6084/m9.figshare.c.3285353.v2
13.3375,63.2475,natural_proxy,tree_proxy,P2k_Arc-Zhang.Jamtland.2016_bsummer,PAGES2k,https://doi.org/10.1038/sdata.2017.88,Arc-Zhang.Jamtland.2016,"Wilson, R.J.S. et al. 2016",https://doi.org/10.6084/m9.figshare.c.3285353.v2
