"LON","LAT","VARIABLE","TYPE","NAME","Name_Database","Paper_Database","Code_Proxy","Reference_Proxy","Reference_Proxy_Database"
27.5,67.5,"natural_proxy","tree_proxy","schweingruber_mxdabd_grid12","Briffa/Schweingruber","https://doi.org/10.1029/2000JD900617","MXDABD grid12","https://crudata.uea.ac.uk/~timo/datapages/mxdtrw.htm#refs",NA
12.5,62.5,"natural_proxy","tree_proxy","schweingruber_mxdabd_grid42","Briffa/Schweingruber","https://doi.org/10.1029/2000JD900617","MXDABD grid42","https://crudata.uea.ac.uk/~timo/datapages/mxdtrw.htm#refs",NA
22.5,62.5,"natural_proxy","tree_proxy","schweingruber_mxdabd_grid44","Briffa/Schweingruber","https://doi.org/10.1029/2000JD900617","MXDABD grid44","https://crudata.uea.ac.uk/~timo/datapages/mxdtrw.htm#refs",NA
27.5,62.5,"natural_proxy","tree_proxy","schweingruber_mxdabd_grid45","Briffa/Schweingruber","https://doi.org/10.1029/2000JD900617","MXDABD grid45","https://crudata.uea.ac.uk/~timo/datapages/mxdtrw.htm#refs",NA
12.3,47.3,"natural_proxy","tree_proxy","NTREND_TYR","N-TREND","https://doi.org/10.1016/j.quascirev.2015.12.005","TYR","Schneider et al. (2015)","https://ntrenddendro.wordpress.com/tr-data"
-3.44,57.08,"natural_proxy","tree_proxy","NTREND_SCOT","N-TREND","https://doi.org/10.1016/j.quascirev.2015.12.005","SCOT","Rydval et al. (submitted)","https://ntrenddendro.wordpress.com/tr-data"
17.09,65.95,"natural_proxy","tree_proxy","NTREND_TAA","N-TREND","https://doi.org/10.1016/j.quascirev.2015.12.005","TAA","Linderholm et al. (2014)","https://ntrenddendro.wordpress.com/tr-data"
0.5,42.5,"natural_proxy","tree_proxy","NTREND_PYR","N-TREND","https://doi.org/10.1016/j.quascirev.2015.12.005","PYR","Dorado-Linan et al. (2012)","https://ntrenddendro.wordpress.com/tr-data"
22.37,40.09,"natural_proxy","tree_proxy","NTREND_MOG","N-TREND","https://doi.org/10.1016/j.quascirev.2015.12.005","MOG","Klesse et al. (2014)","https://ntrenddendro.wordpress.com/tr-data"
0.3,45.7333,"natural_proxy","tree_proxy","ISO2k_TR16LAAN_bsummer","ISO2k","https://doi.org/10.5194/essd-12-2261-2020","TR16LAAN","Labuhn, I., Daux, V., Girardclos, O., Stievenard, M., Pierre, M. and Masson-Delmotte, V.: French summer droughts since 1326 CE: a reconstruction based on tree ring cellulose δ18O, Climate of the Past, 12(5), 1101–1117, doi:10.5194/cp-12-1101-2016, 2016.","https://doi.org/10.25921/57j8-vs18"
